Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Característiques específiques;;Valor característiques específiques;;Superfície Centre Gestor;Metres
QC/1003;Q;Despatx;Despatx;;;;;;37,0;37
QC/1004;Q;Despatx;Despatx;;;;;;17,0;17
QC/1005;Q;Despatx;Despatx;;;;;;19,0;19
QC/1006;Q;Despatx;Despatx;;;;;;17,0;17
QC/1008;Q;Despatx;Despatx;;;;;;18,0;18
QC/1009;Q;Despatx;Despatx;;;;;;18,0;18
QC/1010;Q;Despatx;Despatx;;;;;;18,0;18
QC/1011;Q;Despatx;Despatx;;;;;;17,0;17
QC/1012;Q;Despatx;Despatx;;;;;;18,0;18
QC/1013;Q;Despatx;Despatx;;;;;;18,0;18
QC/1014;Q;Despatx;Despatx;;;;;;18,0;18
QC/1015;Q;Despatx;Despatx;;;;;;17,0;17
QC/1016;Q;Despatx;Despatx;;;;;;18,0;18
QC/1018;Q;Despatx;Despatx;;;;;;18,0;18
QC/1019;Q;Despatx;Despatx;;;;;;18,0;18
QC/1020;Q;Despatx;Despatx;;;;;;18,0;18
QC/1021;Q;Despatx;Despatx;;;;;;18,0;18
QC/1022;Q;Despatx;Despatx;;;;;;18,0;18
QC/1023;Q;Despatx;Despatx;;;;;;17,0;17
QC/1024;Q;Despatx;Despatx;;;;;;18,0;18
QC/1025;Q;Despatx;Despatx;;;;;;18,0;18
QC/1026;Q;Despatx;Despatx;;;;;;18,0;18
QC/1027;Q;Despatx;Despatx;;;;;;17,0;17
QC/1028;Q;Despatx;Despatx;;;;;;18,0;18
QC/1029;Q;Despatx;Despatx;;;;;;18,0;18
QC/1030;Q;Despatx;Despatx;;;;;;18,0;18
QC/1032;Q;Despatx;Despatx;;;;;;18,0;18
QC/1034;Q;Despatx;Despatx;;;;;;18,0;18
QC/1036;Q;Despatx;Despatx;;;;;;18,0;18
QC/1038;Q;Despatx;Despatx;;;;;;18,0;18
QC/1040;Q;Despatx;Despatx;;;;;;18,0;18
QC/1042;Q;Despatx;Despatx;;;;;;18,0;18
QC/1044;Q;Despatx;Despatx;;;;;;18,0;18
QC/1046;Q;Despatx;Despatx;;;;;;18,0;18
QC/1047;Q;Despatx;Despatx;;;;;;17,0;17
QC/1048;Q;Despatx;Despatx;;;;;;18,0;18
QC/1049;Q;Despatx;Despatx;;;;;;18,0;18
QC/1050;Q;Despatx;Despatx;;;;;;18,0;18
QC/1051;Q;Despatx;Despatx;;;;;;17,0;17
QC/1052;Q;Despatx;Despatx;;;;;;18,0;18
QC/1053;Q;Despatx;Despatx;;;;;;17,0;17
QC/1054;Q;Despatx;Despatx;;;;;;17,0;17
QC/1056;Q;Despatx;Despatx;;;;;;18,0;18
QC/1076;Q;Despatx;Despatx;;;;;;17,0;17
QC/1081;Q;Despatx;Secretaria;;;;;;33,0;33
QC/1083;Q;Despatx;Despatx;;;;;;30,0;30
QC/1085;Q;Despatx;Despatx;;;;;;17,0;17
QC/1087;Q;Despatx;Despatx;;;;;;17,0;17
QC/1089;Q;Despatx;Despatx;;;;;;17,0;17
QC/1091;Q;Despatx;Despatx;;;;;;17,0;17
QC/1093;Q;Despatx;Despatx;;;;;;17,0;17
QC/1095;Q;Despatx;Despatx;;;;;;17,0;17
QC/1097;Q;Despatx;Despatx;;;;;;17,0;17
QC/1099;Q;Despatx;Despatx;;;;;;17,0;17
QC/1101;Q;Despatx;Despatx;;;;;;17,0;17
QC/1103;Q;Despatx;Despatx;;;;;;17,0;17
QC/1105;Q;Despatx;Despatx;;;;;;17,0;17
QC/1107;Q;Despatx;Despatx;;;;;;17,0;17
QC/1109;Q;Despatx;Despatx;;;;;;17,0;17
QC/1111;Q;Despatx;Despatx;;;;;;17,0;17
QC/1113;Q;Despatx;Despatx;;;;;;16,0;16
QC/1115;Q;Despatx;Despatx;;;;;;17,0;17
QC/1117;Q;Despatx;Despatx;;;;;;17,0;17
QC/1119;Q;Despatx;Despatx;;;;;;17,0;17
QC/1131;Q;Despatx;Despatx;;;;;;17,0;17
QC/1133;Q;Despatx;Despatx;;;;;;17,0;17
QC/1135;Q;Despatx;Despatx;;;;;;16,0;16
QC/1137;Q;Despatx;Despatx;;;;;;17,0;17
QC/1139;Q;Despatx;Despatx;;;;;;17,0;17
QC/1141;Q;Despatx;Despatx;;;;;;17,0;17
QC/1143;Q;Despatx;Despatx;;;;;;17,0;17
QC/1145;Q;Despatx;Despatx;;;;;;17,0;17
QC/1147;Q;Despatx;Despatx;;;;;;17,0;17
QC/1149;Q;Despatx;Despatx;;;;;;18,0;18
QC/127;Q;Despatx;Despatx;;;;;;17,0;17
QC/2002;Q;Despatx;Despatx;;;;;;17,0;17
QC/2003;Q;Despatx;Despatx;;;;;;18,0;18
QC/2005;Q;Despatx;Despatx tècnics;;;;;;18,0;18
QC/2006;Q;Despatx;Despatx;;;;;;18,0;18
QC/2009;Q;Despatx;Despatx;;;;;;18,0;18
QC/2010;Q;Despatx;Despatx;;;;;;18,0;18
QC/2013;Q;Despatx;Despatx;;;;;;18,0;18
QC/2014;Q;Despatx;Despatx;;;;;;18,0;18
QC/2015;Q;Despatx;Despatx;;;;;;18,0;36
;;;;;;;;;18,0;
QC/2016;Q;Despatx;Despatx;;;;;;18,0;18
QC/2017;Q;Despatx;Despatx;;;;;;18,0;18
QC/2019;Q;Despatx;Despatx;;;;;;17,0;17
QC/2021;Q;Despatx;Despatx;;;;;;18,0;18
QC/2022;Q;Despatx;Despatx;;;;;;18,0;18
QC/2023;Q;Despatx;Despatx;;;;;;18,0;18
QC/2025;Q;Despatx;Despatx;;;;;;18,0;18
QC/2026;Q;Despatx;Despatx;;;;;;18,0;18
QC/2030;Q;Despatx;Despatx;;;;;;18,0;18
QC/2031;Q;Despatx;Despatx;;;;;;18,0;18
QC/2032;Q;Despatx;Despatx;;;;;;18,0;18
QC/2033;Q;Despatx;Despatx;;;;;;18,0;18
QC/2034;Q;Despatx;Despatx;;;;;;18,0;18
QC/2035;Q;Despatx;Despatx;;;;;;18,0;18
QC/2036;Q;Despatx;Despatx;;;;;;18,0;18
