Data inicial;Hora inicial;Data final;Hora final;Total hores;Espai;Estudi;Activitat;Alumnes matriculats;Modalitat docencia;Observacions
08/01/2021;10:30;08/01/2021;11:30;1;Q4/0011;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;102709 Teoria de Circuits i Electrònica - 331;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/0011;10063 Enginyeria Electrònica de Telecomunicació;102709 Teoria de Circuits i Electrònica - 331;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/0011;10064 Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 331;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/0011;6084 Enginyeria de Telecomunicació / Telecommunication Engineering;102709 Teoria de Circuits i Electrònica - 331;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/0011;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 331;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/0011;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 331;Sense grup de matricula; ; 
08/01/2021;10:30;08/01/2021;11:30;1;Q3/0003;10063 Enginyeria Electrònica de Telecomunicació;103799 Fonaments d'Informàtica - 311;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/0003;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;103799 Fonaments d'Informàtica - 311;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/0003;10064 Enginyeria de Sistemes de Telecomunicació;103799 Fonaments d'Informàtica - 311;Sense grup de matricula; ; 
08/01/2021;10:30;08/01/2021;11:30;1;Q4/1009;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;103798 Fonaments d'Enginyeria - 312;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1009;10064 Enginyeria de Sistemes de Telecomunicació;103798 Fonaments d'Enginyeria - 312;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1009;10063 Enginyeria Electrònica de Telecomunicació;103798 Fonaments d'Enginyeria - 312;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1009;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;103798 Fonaments d'Enginyeria - 312;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1009;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;103798 Fonaments d'Enginyeria - 312;Sense grup de matricula; ; 
08/01/2021;10:30;08/01/2021;11:30;1;Q4/1013;10063 Enginyeria Electrònica de Telecomunicació;103796 Càlcul - 332;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1013;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 332;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1013;10064 Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 332;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1013;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;103796 Càlcul - 332;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1013;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 332;Sense grup de matricula; ; 
08/01/2021;10:30;08/01/2021;12:30;2;Q2/1013;10062 Enginyeria Informàtica;105073 Tecnologies de Compressió de la Informació - 450;Sense grup de matricula; ; 
08/01/2021;10:30;08/01/2021;12:30;2;Q3/1003;10109 Enginyeria de Dades;104342 Fonaments de Matemàtiques - 81;65; ; 
08/01/2021;10:30;08/01/2021;12:30;2;Q2/1009;;Examen parcial 103801 Àlgebra;0; ; 
08/01/2021;11:30;08/01/2021;12:30;1;Q4/0007;;Examen parcial 103801 Àlgebra;0; ; 
08/01/2021;11:30;08/01/2021;14:30;3;Q2/0007;10065 Enginyeria Química;103810 Estadística - 211;Sense grup de matricula; ; 
08/01/2021;11:30;08/01/2021;14:30;3;Q2/0017;10065 Enginyeria Química;103810 Estadística - 214;Sense grup de matricula; ; 
08/01/2021;11:30;08/01/2021;14:30;3;Q2/0013;10065 Enginyeria Química;103810 Estadística - 213;Sense grup de matricula; ; 
