Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Accés per a minusvàlids;Aire condicionat;Capacitat exàmens;Capacitat;Capacitat docència;Connexió xarxa;Mobiliari;Porta secundària;Roseta xarxa núm.;Telèfon núm.;Televisor;Característiques específiques;;Valor característiques específiques;;Centre gestor;Superfície Centre Gestor;Metres;
S/233;S;Aules informàtiques;Aula d'Informàtica L;;Sí;Sí;;;64;;Varis; ; ;;;Canó projecció fix;;Sí;;Facultat d'Economia i Empresa;14,0;70;
;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;Impressora;; ;;;;;
;;;;;;;;;;;;;;;;Ordinador;; ;;;;;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Escola d'Enginyeria;56,0;;
S/235;S;Laboratoris docents;Laboratori Automàtica C;;No;No;;;52;;Varis; ; ;;;Ordinador;; ;;Escola d'Enginyeria;69,0;69;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
S/237;S;Laboratoris docents;Lab Arquitectura II (D);;No;No;;;60;;Varis;;;;;;;;;Escola d'Enginyeria;70,0;70;
S/239;S;Laboratoris docents;Laboratori E-U.A.V.;;No;No;;;57;;Varis;;;;;;;;;Escola d'Enginyeria;71,0;71;
S/244;S;Laboratoris docents;Lab Visió (G);;No;No;;;26;;Varis;;;;;;;;;Escola d'Enginyeria;71,0;71;
;;;;;;;;;;;;;;;;;;;;;;;
